show_id,type,title,director,cast,country,date_added,release_year,rating,listed_in,description
s499,TV Show,Netflix Title 499,,,United Kingdom,,2005,PG,Documentary,This is a tv show released in 2005.
s500,Movie,Netflix Title 500,Director 270,"Actor 62, Actor 569",India,"August 19, 2022",1993,TV-PG,Comedy,This is a movie released in 1993.
s501,TV Show,Netflix Title 501,Director 106,"Actor 61, Actor 867",United Kingdom,,1984,PG-13,Drama,
s502,TV Show,Netflix Title 502,Director 30,,,"October 10, 2019",2005,TV-MA,Comedy,This is a tv show released in 2005.
s503,TV Show,Netflix Title 503,,,South Korea,"December 08, 2021",1984,TV-MA,Horror,
s504,TV Show,Netflix Title 504,,,Japan,,1987,TV-MA,Action,
s505,Movie,Netflix Title 505,,"Actor 382, Actor 782",Japan,"September 29, 2024",2019,PG,Action,
s506,Movie,Netflix Title 506,Director 165,"Actor 354, Actor 631",Canada,"October 28, 2017",1985,R,Thriller,This is a movie released in 1985.
s507,Movie,Netflix Title 507,Director 15,,India,"October 28, 2024",2007,G,Action,This is a movie released in 2007.
s508,TV Show,Netflix Title 508,,"Actor 98, Actor 675",United States,"October 27, 2018",2010,R,Thriller,
s509,TV Show,Netflix Title 509,,"Actor 311, Actor 665",South Korea,"March 17, 2022",2006,TV-MA,Drama,
s510,TV Show,Netflix Title 510,,"Actor 417, Actor 880",Canada,,2009,PG-13,Documentary,
s511,Movie,Netflix Title 511,,,United Kingdom,,1983,TV-14,Action,This is a movie released in 1983.
s512,TV Show,Netflix Title 512,,,Japan,"September 14, 2019",1980,TV-PG,Horror,
s513,TV Show,Netflix Title 513,,"Actor 107, Actor 814",India,"December 16, 2017",2002,G,Documentary,
s514,Movie,Netflix Title 514,,,United Kingdom,"September 28, 2022",2007,TV-14,Comedy,
s515,TV Show,Netflix Title 515,,,France,"January 02, 2015",2002,TV-MA,Comedy,This is a tv show released in 2002.
s516,TV Show,Netflix Title 516,,,Japan,"September 23, 2024",2014,TV-PG,Thriller,
s517,TV Show,Netflix Title 517,,,,,2006,PG-13,Comedy,This is a tv show released in 2006.
s518,Movie,Netflix Title 518,,"Actor 298, Actor 829",France,,1983,PG-13,Romance,This is a movie released in 1983.
s519,TV Show,Netflix Title 519,Director 194,"Actor 472, Actor 682",United States,"March 22, 2023",2008,TV-PG,Comedy,This is a tv show released in 2008.
s520,Movie,Netflix Title 520,Director 154,"Actor 202, Actor 995",Japan,"November 01, 2021",1982,PG-13,Romance,This is a movie released in 1982.
s521,Movie,Netflix Title 521,,"Actor 16, Actor 853",South Korea,"July 28, 2023",2023,,Documentary,
s522,TV Show,Netflix Title 522,Director 8,,United Kingdom,,1998,PG,Comedy,This is a tv show released in 1998.
s523,Movie,Netflix Title 523,Director 36,"Actor 137, Actor 526",Japan,,2006,G,Drama,
s524,Movie,Netflix Title 524,,,India,,1985,TV-14,Action,This is a movie released in 1985.
s525,Movie,Netflix Title 525,,"Actor 100, Actor 648",United States,,2007,TV-MA,Action,
s526,TV Show,Netflix Title 526,Director 204,,France,,1984,TV-MA,Thriller,
s527,TV Show,Netflix Title 527,Director 208,,Japan,"August 07, 2017",1990,TV-MA,Thriller,
s528,TV Show,Netflix Title 528,Director 101,"Actor 144, Actor 777",United States,,2015,R,Drama,This is a tv show released in 2015.
s529,TV Show,Netflix Title 529,Director 31,"Actor 421, Actor 695",Japan,,1995,PG-13,Drama,
s530,TV Show,Netflix Title 530,,"Actor 66, Actor 617",United States,,1980,PG-13,Romance,This is a tv show released in 1980.
s531,Movie,Netflix Title 531,Director 237,"Actor 219, Actor 698",United States,,1994,TV-MA,Romance,This is a movie released in 1994.
s532,TV Show,Netflix Title 532,,,,,1992,G,Comedy,
s533,TV Show,Netflix Title 533,Director 188,"Actor 426, Actor 923",,,2002,TV-PG,Romance,This is a tv show released in 2002.
s534,Movie,Netflix Title 534,,"Actor 267, Actor 767",South Korea,,1999,TV-MA,Drama,This is a movie released in 1999.
s535,Movie,Netflix Title 535,,,Japan,,2012,TV-14,Horror,This is a movie released in 2012.
s536,Movie,Netflix Title 536,Director 58,"Actor 495, Actor 784",Canada,"July 18, 2021",2019,,Comedy,
s537,TV Show,Netflix Title 537,,,France,"January 08, 2017",1984,TV-MA,Romance,This is a tv show released in 1984.
s538,TV Show,Netflix Title 538,Director 142,"Actor 44, Actor 718",,,1986,G,Thriller,This is a tv show released in 1986.
s539,TV Show,Netflix Title 539,,,Japan,"June 17, 2018",2013,G,Romance,
s540,TV Show,Netflix Title 540,,,South Korea,"August 25, 2017",2001,G,Horror,This is a tv show released in 2001.
s541,Movie,Netflix Title 541,,,France,,2001,TV-PG,Comedy,
s542,Movie,Netflix Title 542,Director 75,,South Korea,,1984,PG-13,Comedy,
s543,TV Show,Netflix Title 543,,"Actor 443, Actor 734",Japan,,1994,PG-13,Romance,This is a tv show released in 1994.
s544,TV Show,Netflix Title 544,Director 8,"Actor 87, Actor 686",Canada,"July 27, 2017",2020,G,Horror,This is a tv show released in 2020.
s545,Movie,Netflix Title 545,,"Actor 56, Actor 619",Japan,"August 22, 2018",1997,R,Drama,
s546,Movie,Netflix Title 546,,,United Kingdom,,2022,,Documentary,This is a movie released in 2022.
s547,TV Show,Netflix Title 547,,"Actor 21, Actor 582",United Kingdom,"April 23, 2017",1999,G,Thriller,This is a tv show released in 1999.
s548,TV Show,Netflix Title 548,Director 11,"Actor 317, Actor 686",Japan,"September 30, 2020",2001,TV-MA,Horror,
s549,Movie,Netflix Title 549,,"Actor 256, Actor 958",,"December 11, 2023",1988,R,Comedy,This is a movie released in 1988.
s550,Movie,Netflix Title 550,,,,"August 19, 2017",1990,TV-14,Documentary,This is a movie released in 1990.
s551,TV Show,Netflix Title 551,Director 127,,Japan,"September 06, 2017",1994,PG-13,Comedy,This is a tv show released in 1994.
s552,Movie,Netflix Title 552,,,United States,"May 19, 2021",1989,G,Thriller,This is a movie released in 1989.
s553,Movie,Netflix Title 553,,"Actor 258, Actor 898",Canada,"May 10, 2024",1980,PG,Documentary,
s554,TV Show,Netflix Title 554,,,India,,2006,G,Action,
s555,TV Show,Netflix Title 555,,,Canada,,1989,TV-14,Horror,This is a tv show released in 1989.
s556,TV Show,Netflix Title 556,,,South Korea,"March 18, 2022",2024,PG,Action,This is a tv show released in 2024.
s557,TV Show,Netflix Title 557,Director 117,"Actor 499, Actor 724",,"May 05, 2018",2014,R,Horror,This is a tv show released in 2014.
s558,TV Show,Netflix Title 558,,,,"August 17, 2023",2010,TV-PG,Romance,This is a tv show released in 2010.
s559,TV Show,Netflix Title 559,Director 222,"Actor 13, Actor 537",United Kingdom,,2003,,Action,This is a tv show released in 2003.
s560,Movie,Netflix Title 560,,"Actor 247, Actor 578",Japan,"July 12, 2015",1994,,Thriller,
s561,TV Show,Netflix Title 561,,,France,"January 02, 2023",2012,TV-14,Comedy,This is a tv show released in 2012.
s562,TV Show,Netflix Title 562,,"Actor 1, Actor 656",United Kingdom,"July 26, 2020",1985,PG-13,Drama,
s563,Movie,Netflix Title 563,,,,"June 02, 2023",2021,TV-MA,Action,
s564,TV Show,Netflix Title 564,,,United States,"March 27, 2021",2000,G,Documentary,
s565,Movie,Netflix Title 565,Director 50,"Actor 330, Actor 553",,,2015,R,Comedy,
s566,TV Show,Netflix Title 566,Director 94,"Actor 206, Actor 801",France,"May 18, 2023",1987,TV-PG,Comedy,This is a tv show released in 1987.
s567,Movie,Netflix Title 567,,"Actor 183, Actor 889",United States,,1985,R,Thriller,This is a movie released in 1985.
s568,TV Show,Netflix Title 568,,,United States,"May 06, 2015",1988,PG,Documentary,This is a tv show released in 1988.
s569,Movie,Netflix Title 569,,"Actor 81, Actor 896",,,2016,PG-13,Thriller,This is a movie released in 2016.
s570,TV Show,Netflix Title 570,,,United Kingdom,,2012,,Romance,This is a tv show released in 2012.
s571,TV Show,Netflix Title 571,Director 269,,,,2009,TV-PG,Action,This is a tv show released in 2009.
s572,TV Show,Netflix Title 572,,"Actor 421, Actor 925",Japan,,2017,TV-14,Romance,
s573,TV Show,Netflix Title 573,Director 26,,France,,2005,PG-13,Action,This is a tv show released in 2005.
s574,TV Show,Netflix Title 574,Director 29,,Japan,,2001,PG-13,Thriller,This is a tv show released in 2001.
s575,TV Show,Netflix Title 575,,"Actor 280, Actor 687",United States,"April 11, 2015",2002,PG-13,Drama,
s576,TV Show,Netflix Title 576,,"Actor 355, Actor 564",United Kingdom,"March 25, 2017",2021,PG,Horror,This is a tv show released in 2021.
s577,TV Show,Netflix Title 577,Director 174,,India,"October 31, 2016",1985,PG,Thriller,This is a tv show released in 1985.
s578,TV Show,Netflix Title 578,,"Actor 224, Actor 934",India,,2002,TV-MA,Documentary,
s579,TV Show,Netflix Title 579,,,India,,2007,PG,Thriller,This is a tv show released in 2007.
s580,Movie,Netflix Title 580,,"Actor 22, Actor 858",Canada,"May 20, 2016",1984,TV-PG,Comedy,This is a movie released in 1984.
s581,TV Show,Netflix Title 581,,"Actor 237, Actor 972",Japan,,1983,R,Comedy,This is a tv show released in 1983.
s582,Movie,Netflix Title 582,,"Actor 472, Actor 922",France,,1990,PG-13,Horror,This is a movie released in 1990.
s583,Movie,Netflix Title 583,,,South Korea,,2003,,Comedy,This is a movie released in 2003.
s584,Movie,Netflix Title 584,Director 266,"Actor 15, Actor 701",India,,2004,,Horror,This is a movie released in 2004.
s585,Movie,Netflix Title 585,,"Actor 281, Actor 704",South Korea,"December 18, 2021",2000,TV-14,Comedy,This is a movie released in 2000.
s586,Movie,Netflix Title 586,Director 243,,United Kingdom,,2012,TV-PG,Action,
s587,Movie,Netflix Title 587,Director 48,"Actor 193, Actor 729",France,,1998,G,Horror,
s588,Movie,Netflix Title 588,Director 257,"Actor 171, Actor 696",United Kingdom,,1987,PG,Comedy,
s589,Movie,Netflix Title 589,Director 21,"Actor 40, Actor 894",India,,1983,,Action,
s590,Movie,Netflix Title 590,Director 142,"Actor 495, Actor 577",India,,2013,PG-13,Romance,
s591,TV Show,Netflix Title 591,,"Actor 119, Actor 796",United States,,1984,TV-PG,Horror,This is a tv show released in 1984.
s592,TV Show,Netflix Title 592,,,South Korea,"October 17, 2020",2010,G,Drama,This is a tv show released in 2010.
s593,TV Show,Netflix Title 593,Director 50,"Actor 144, Actor 927",Canada,"August 05, 2019",2016,G,Action,This is a tv show released in 2016.
s594,Movie,Netflix Title 594,,,United States,,1995,R,Documentary,This is a movie released in 1995.
s595,TV Show,Netflix Title 595,,,United States,,2021,TV-MA,Drama,
s596,Movie,Netflix Title 596,Director 244,"Actor 268, Actor 626",Japan,,1990,PG,Horror,
s597,Movie,Netflix Title 597,,,United States,"May 14, 2020",2013,,Documentary,This is a movie released in 2013.
s598,TV Show,Netflix Title 598,Director 119,"Actor 61, Actor 686",United Kingdom,"July 05, 2019",1989,R,Comedy,
s599,TV Show,Netflix Title 599,Director 50,,India,"May 10, 2017",1987,R,Horror,This is a tv show released in 1987.
s600,TV Show,Netflix Title 600,,,United Kingdom,"June 26, 2019",2016,PG,Action,
s601,Movie,Netflix Title 601,,"Actor 72, Actor 647",Canada,,2012,TV-PG,Horror,This is a movie released in 2012.
s602,Movie,Netflix Title 602,,"Actor 302, Actor 551",United Kingdom,,2006,R,Romance,
s603,TV Show,Netflix Title 603,,"Actor 191, Actor 614",United States,"October 16, 2015",1983,PG,Documentary,This is a tv show released in 1983.
s604,Movie,Netflix Title 604,,,United Kingdom,"May 16, 2020",1992,G,Romance,This is a movie released in 1992.
s605,TV Show,Netflix Title 605,Director 22,,South Korea,,1993,,Thriller,This is a tv show released in 1993.
s606,Movie,Netflix Title 606,,,,"March 02, 2023",1984,PG-13,Thriller,This is a movie released in 1984.
s607,TV Show,Netflix Title 607,Director 253,,France,"April 15, 2017",1982,PG,Thriller,This is a tv show released in 1982.
s608,Movie,Netflix Title 608,Director 196,,United States,"December 29, 2021",2020,TV-PG,Drama,
s609,Movie,Netflix Title 609,Director 196,,India,,2016,R,Documentary,
s610,TV Show,Netflix Title 610,Director 133,"Actor 101, Actor 875",India,"December 15, 2020",2020,G,Romance,
s611,TV Show,Netflix Title 611,,"Actor 2, Actor 622",Canada,,1983,,Thriller,This is a tv show released in 1983.
s612,Movie,Netflix Title 612,,"Actor 281, Actor 877",Canada,,1994,TV-MA,Romance,This is a movie released in 1994.
s613,Movie,Netflix Title 613,Director 234,"Actor 210, Actor 753",France,"May 24, 2020",2015,,Documentary,This is a movie released in 2015.
s614,Movie,Netflix Title 614,Director 61,"Actor 411, Actor 654",India,"July 24, 2022",1997,R,Action,This is a movie released in 1997.
s615,TV Show,Netflix Title 615,Director 270,"Actor 444, Actor 881",India,,2022,PG,Thriller,This is a tv show released in 2022.
s616,TV Show,Netflix Title 616,,"Actor 293, Actor 852",Canada,"January 09, 2023",1999,PG,Action,
s617,TV Show,Netflix Title 617,,"Actor 218, Actor 866",,,2007,TV-MA,Thriller,This is a tv show released in 2007.
s618,TV Show,Netflix Title 618,Director 187,"Actor 450, Actor 590",Canada,,2016,,Thriller,This is a tv show released in 2016.
s619,Movie,Netflix Title 619,,"Actor 110, Actor 517",India,"October 12, 2020",2017,G,Thriller,This is a movie released in 2017.
s620,Movie,Netflix Title 620,,"Actor 314, Actor 638",United Kingdom,"August 16, 2017",1988,TV-14,Thriller,This is a movie released in 1988.
s621,TV Show,Netflix Title 621,Director 133,"Actor 378, Actor 755",Canada,"March 06, 2017",1980,R,Drama,This is a tv show released in 1980.
s622,TV Show,Netflix Title 622,,"Actor 164, Actor 626",Canada,"February 09, 2017",1994,PG,Documentary,
s623,Movie,Netflix Title 623,,"Actor 139, Actor 780",South Korea,"April 30, 2021",2023,TV-PG,Action,
s624,TV Show,Netflix Title 624,,"Actor 450, Actor 986",Canada,"January 05, 2022",1982,TV-MA,Action,This is a tv show released in 1982.
s625,TV Show,Netflix Title 625,,,,,2000,,Action,This is a tv show released in 2000.
s626,Movie,Netflix Title 626,Director 154,"Actor 212, Actor 580",India,"September 21, 2022",1989,R,Thriller,
s627,TV Show,Netflix Title 627,,,South Korea,"October 20, 2018",1995,TV-14,Drama,This is a tv show released in 1995.
s628,Movie,Netflix Title 628,Director 84,,France,"January 26, 2017",2008,R,Horror,This is a movie released in 2008.
s629,TV Show,Netflix Title 629,,"Actor 208, Actor 908",India,,1989,,Romance,
s630,Movie,Netflix Title 630,Director 142,"Actor 471, Actor 995",France,,1991,PG-13,Romance,
s631,TV Show,Netflix Title 631,,"Actor 411, Actor 713",France,"July 18, 2019",2017,PG,Comedy,
s632,Movie,Netflix Title 632,Director 122,,France,"January 10, 2016",1983,PG-13,Drama,
s633,TV Show,Netflix Title 633,Director 199,"Actor 284, Actor 835",United States,"July 27, 2015",2022,TV-PG,Documentary,
s634,TV Show,Netflix Title 634,Director 132,,United Kingdom,"October 04, 2016",1995,R,Romance,
s635,TV Show,Netflix Title 635,,"Actor 199, Actor 582",Japan,,1982,TV-14,Romance,
s636,TV Show,Netflix Title 636,,"Actor 109, Actor 963",Japan,"April 08, 2023",1993,PG,Drama,
s637,TV Show,Netflix Title 637,,"Actor 11, Actor 800",Canada,"December 11, 2020",2020,TV-MA,Documentary,
s638,Movie,Netflix Title 638,,,India,"October 09, 2017",1989,TV-MA,Action,This is a movie released in 1989.
s639,Movie,Netflix Title 639,,"Actor 398, Actor 895",South Korea,,2007,PG,Drama,This is a movie released in 2007.
s640,TV Show,Netflix Title 640,,,United Kingdom,,2012,TV-PG,Drama,
s641,TV Show,Netflix Title 641,Director 139,"Actor 59, Actor 791",Japan,"September 06, 2022",2022,TV-14,Action,This is a tv show released in 2022.
s642,Movie,Netflix Title 642,Director 261,"Actor 200, Actor 853",South Korea,"October 23, 2024",2020,TV-14,Drama,This is a movie released in 2020.
s643,TV Show,Netflix Title 643,Director 145,"Actor 230, Actor 984",Canada,"September 19, 2015",2019,,Comedy,
s644,Movie,Netflix Title 644,Director 164,,France,,1981,PG-13,Romance,
s645,TV Show,Netflix Title 645,,,Canada,"April 06, 2020",1989,PG,Horror,This is a tv show released in 1989.
s646,Movie,Netflix Title 646,Director 25,,,"July 14, 2017",2006,R,Drama,This is a movie released in 2006.
s647,Movie,Netflix Title 647,,"Actor 66, Actor 661",Canada,"February 26, 2015",1998,PG-13,Documentary,This is a movie released in 1998.
s648,TV Show,Netflix Title 648,Director 186,"Actor 424, Actor 562",India,"April 11, 2018",2019,TV-PG,Comedy,
s649,TV Show,Netflix Title 649,,"Actor 110, Actor 640",,"November 09, 2017",2022,,Drama,This is a tv show released in 2022.
s650,TV Show,Netflix Title 650,Director 100,"Actor 445, Actor 912",France,"July 23, 2016",2022,PG,Comedy,
s651,TV Show,Netflix Title 651,Director 57,"Actor 299, Actor 563",,"August 17, 2021",1980,PG-13,Documentary,
s652,Movie,Netflix Title 652,Director 212,,South Korea,,1999,PG-13,Comedy,This is a movie released in 1999.
s653,Movie,Netflix Title 653,Director 298,"Actor 163, Actor 660",United States,,1996,G,Horror,
s654,Movie,Netflix Title 654,Director 131,"Actor 23, Actor 828",India,"October 26, 2019",1982,PG,Horror,
s655,TV Show,Netflix Title 655,,"Actor 317, Actor 723",Japan,"December 14, 2017",2012,TV-14,Drama,This is a tv show released in 2012.
s656,Movie,Netflix Title 656,Director 52,"Actor 242, Actor 685",United States,,1982,TV-PG,Romance,This is a movie released in 1982.
s657,TV Show,Netflix Title 657,Director 217,"Actor 145, Actor 984",United Kingdom,"January 30, 2022",1990,G,Thriller,This is a tv show released in 1990.
s658,TV Show,Netflix Title 658,,"Actor 302, Actor 534",Japan,"May 30, 2020",1980,PG,Thriller,
s659,TV Show,Netflix Title 659,,,India,,2023,G,Horror,This is a tv show released in 2023.
s660,TV Show,Netflix Title 660,,"Actor 139, Actor 847",United States,"April 20, 2023",2003,G,Drama,
s661,Movie,Netflix Title 661,Director 125,"Actor 329, Actor 806",India,"August 22, 2020",2001,TV-14,Action,This is a movie released in 2001.
s662,Movie,Netflix Title 662,,,Canada,,2005,,Romance,
s663,Movie,Netflix Title 663,,,India,,2014,G,Romance,This is a movie released in 2014.
s664,TV Show,Netflix Title 664,Director 219,"Actor 495, Actor 766",India,"September 02, 2020",1981,R,Horror,
s665,Movie,Netflix Title 665,Director 193,,South Korea,"June 30, 2018",2014,TV-MA,Horror,This is a movie released in 2014.
s666,TV Show,Netflix Title 666,,,South Korea,"December 17, 2017",2023,TV-PG,Action,
s667,Movie,Netflix Title 667,,,Japan,"September 18, 2015",1984,G,Documentary,This is a movie released in 1984.
s668,Movie,Netflix Title 668,,,United States,,2020,TV-MA,Action,This is a movie released in 2020.
s669,TV Show,Netflix Title 669,Director 89,,,,1992,TV-PG,Horror,
s670,TV Show,Netflix Title 670,Director 9,"Actor 340, Actor 973",United States,,1985,,Action,
s671,TV Show,Netflix Title 671,,"Actor 422, Actor 739",India,,2011,TV-PG,Thriller,
s672,TV Show,Netflix Title 672,,"Actor 23, Actor 831",,"July 02, 2018",2012,TV-MA,Thriller,This is a tv show released in 2012.
s673,Movie,Netflix Title 673,,,India,"March 28, 2016",2023,,Horror,This is a movie released in 2023.
s674,Movie,Netflix Title 674,Director 29,"Actor 54, Actor 894",South Korea,,2013,TV-PG,Thriller,
s675,Movie,Netflix Title 675,,,Canada,"August 15, 2019",1985,R,Documentary,
s676,Movie,Netflix Title 676,Director 275,"Actor 33, Actor 910",South Korea,,1984,,Documentary,This is a movie released in 1984.
s677,Movie,Netflix Title 677,Director 62,,France,"June 30, 2024",2020,PG-13,Documentary,This is a movie released in 2020.
s678,Movie,Netflix Title 678,,,,"October 08, 2024",1998,TV-PG,Romance,This is a movie released in 1998.
s679,TV Show,Netflix Title 679,,,,"November 09, 2024",2017,TV-MA,Romance,
s680,TV Show,Netflix Title 680,Director 284,,Canada,,1997,TV-14,Drama,This is a tv show released in 1997.
s681,Movie,Netflix Title 681,Director 75,,India,,2007,TV-MA,Comedy,This is a movie released in 2007.
s682,TV Show,Netflix Title 682,,,South Korea,,2013,,Horror,This is a tv show released in 2013.
s683,Movie,Netflix Title 683,Director 167,"Actor 96, Actor 665",,"June 21, 2023",1987,PG,Action,This is a movie released in 1987.
s684,TV Show,Netflix Title 684,Director 120,,United Kingdom,"November 07, 2016",2000,G,Romance,This is a tv show released in 2000.
s685,TV Show,Netflix Title 685,Director 218,,Japan,"October 14, 2019",1985,PG-13,Romance,This is a tv show released in 1985.
s686,Movie,Netflix Title 686,Director 28,"Actor 8, Actor 625",United Kingdom,"February 02, 2016",1987,PG-13,Documentary,
s687,TV Show,Netflix Title 687,,"Actor 264, Actor 890",United Kingdom,"May 01, 2017",1994,PG,Romance,This is a tv show released in 1994.
s688,TV Show,Netflix Title 688,,,South Korea,,1994,R,Action,
s689,Movie,Netflix Title 689,Director 38,,South Korea,"December 27, 2019",2018,TV-PG,Comedy,
s690,TV Show,Netflix Title 690,Director 65,,Canada,"January 31, 2022",2007,PG-13,Romance,
s691,Movie,Netflix Title 691,,"Actor 425, Actor 953",United Kingdom,"July 25, 2018",1983,TV-PG,Documentary,
s692,Movie,Netflix Title 692,,,Canada,"June 25, 2023",1990,R,Documentary,This is a movie released in 1990.
s693,Movie,Netflix Title 693,Director 86,,France,,2012,PG-13,Horror,This is a movie released in 2012.
s694,TV Show,Netflix Title 694,Director 99,"Actor 265, Actor 897",United States,"August 13, 2016",1982,G,Action,This is a tv show released in 1982.
s695,TV Show,Netflix Title 695,,"Actor 499, Actor 671",South Korea,,2021,TV-MA,Drama,This is a tv show released in 2021.
s696,TV Show,Netflix Title 696,,,South Korea,"August 07, 2023",1999,,Comedy,This is a tv show released in 1999.
s697,Movie,Netflix Title 697,Director 109,"Actor 350, Actor 863",,,1997,TV-14,Comedy,This is a movie released in 1997.
s698,Movie,Netflix Title 698,Director 190,"Actor 69, Actor 593",Canada,"March 26, 2018",1991,R,Comedy,
s699,Movie,Netflix Title 699,Director 40,"Actor 487, Actor 554",South Korea,"October 06, 2015",2017,G,Comedy,
s700,TV Show,Netflix Title 700,Director 256,,Canada,,2011,,Horror,This is a tv show released in 2011.
s701,Movie,Netflix Title 701,Director 69,,United Kingdom,"October 11, 2019",1980,PG,Documentary,
s702,TV Show,Netflix Title 702,,,,,2005,TV-14,Action,This is a tv show released in 2005.
s703,TV Show,Netflix Title 703,Director 275,"Actor 342, Actor 657",,"October 30, 2017",1990,R,Documentary,
s704,Movie,Netflix Title 704,Director 150,,South Korea,"January 29, 2022",1982,TV-MA,Comedy,This is a movie released in 1982.
s705,Movie,Netflix Title 705,Director 118,"Actor 487, Actor 920",,,2016,G,Comedy,
s706,TV Show,Netflix Title 706,,"Actor 61, Actor 672",,,1987,G,Thriller,
s707,Movie,Netflix Title 707,,"Actor 14, Actor 914",South Korea,"October 10, 2017",2024,TV-PG,Action,This is a movie released in 2024.
s708,TV Show,Netflix Title 708,Director 220,,United States,,1981,TV-MA,Romance,This is a tv show released in 1981.
s709,TV Show,Netflix Title 709,,,France,,2005,PG,Horror,
s710,TV Show,Netflix Title 710,Director 78,,,"January 22, 2016",2016,R,Romance,This is a tv show released in 2016.
s711,Movie,Netflix Title 711,,,Japan,"July 06, 2018",1998,TV-MA,Thriller,This is a movie released in 1998.
s712,Movie,Netflix Title 712,Director 266,,,"November 24, 2017",2008,R,Horror,This is a movie released in 2008.
s713,TV Show,Netflix Title 713,,"Actor 92, Actor 976",South Korea,,1991,TV-MA,Thriller,
s714,TV Show,Netflix Title 714,,"Actor 91, Actor 989",Canada,"July 26, 2016",2017,R,Thriller,
s715,TV Show,Netflix Title 715,,"Actor 96, Actor 828",France,"March 29, 2016",2010,TV-14,Thriller,
s716,Movie,Netflix Title 716,,"Actor 401, Actor 897",Japan,,2018,,Comedy,
s717,TV Show,Netflix Title 717,,,Canada,,2012,R,Romance,
s718,TV Show,Netflix Title 718,,,France,"November 29, 2018",1988,R,Thriller,
s719,Movie,Netflix Title 719,Director 183,,Japan,"April 27, 2020",2004,PG-13,Drama,This is a movie released in 2004.
s720,Movie,Netflix Title 720,,,France,"October 11, 2019",2021,TV-PG,Comedy,This is a movie released in 2021.
s721,Movie,Netflix Title 721,Director 238,"Actor 267, Actor 632",France,"September 21, 2020",2024,G,Comedy,This is a movie released in 2024.
s722,TV Show,Netflix Title 722,Director 190,"Actor 31, Actor 586",,"December 30, 2017",2012,TV-14,Thriller,
s723,TV Show,Netflix Title 723,Director 261,,Canada,,2013,TV-14,Comedy,This is a tv show released in 2013.
s724,TV Show,Netflix Title 724,,,United States,"August 31, 2024",2013,,Horror,
s725,Movie,Netflix Title 725,Director 252,,United States,,2000,PG-13,Drama,
s726,TV Show,Netflix Title 726,Director 262,"Actor 286, Actor 924",India,,1987,G,Documentary,
s727,Movie,Netflix Title 727,,"Actor 443, Actor 724",United States,"January 10, 2019",1987,TV-PG,Comedy,This is a movie released in 1987.
s728,Movie,Netflix Title 728,Director 239,"Actor 192, Actor 710",India,,2021,PG-13,Romance,
s729,TV Show,Netflix Title 729,,,United Kingdom,,2007,G,Comedy,This is a tv show released in 2007.
s730,TV Show,Netflix Title 730,Director 22,,India,,2009,PG,Documentary,
s731,TV Show,Netflix Title 731,Director 201,"Actor 173, Actor 884",South Korea,"June 05, 2022",1993,TV-14,Documentary,This is a tv show released in 1993.
s732,Movie,Netflix Title 732,Director 191,,United States,"March 06, 2023",2020,R,Romance,
s733,Movie,Netflix Title 733,Director 210,,Canada,"August 17, 2023",1990,R,Action,This is a movie released in 1990.
s734,Movie,Netflix Title 734,Director 288,,United Kingdom,"September 04, 2024",2000,PG-13,Action,This is a movie released in 2000.
s735,TV Show,Netflix Title 735,Director 298,"Actor 122, Actor 802",Japan,"May 07, 2024",1998,TV-PG,Action,
s736,TV Show,Netflix Title 736,,,India,"February 01, 2022",2009,TV-14,Horror,
s737,TV Show,Netflix Title 737,Director 175,"Actor 47, Actor 512",India,"August 22, 2015",2007,TV-14,Horror,
s738,Movie,Netflix Title 738,Director 116,"Actor 18, Actor 538",France,,1986,TV-14,Comedy,
s739,Movie,Netflix Title 739,,"Actor 245, Actor 722",Canada,,1994,TV-14,Drama,
s740,Movie,Netflix Title 740,Director 234,,Canada,"July 20, 2021",2016,G,Action,
s741,TV Show,Netflix Title 741,Director 1,,Japan,,1991,PG-13,Horror,
s742,TV Show,Netflix Title 742,Director 186,"Actor 330, Actor 655",United States,"June 12, 2019",1980,PG,Drama,This is a tv show released in 1980.
s743,Movie,Netflix Title 743,,"Actor 48, Actor 602",Japan,,2009,TV-14,Horror,
s744,Movie,Netflix Title 744,Director 10,,South Korea,"January 05, 2021",2019,PG,Drama,This is a movie released in 2019.
s745,Movie,Netflix Title 745,,,United States,"April 30, 2023",2004,PG,Romance,
s746,TV Show,Netflix Title 746,,"Actor 267, Actor 916",South Korea,"September 25, 2016",1987,G,Horror,This is a tv show released in 1987.
s747,Movie,Netflix Title 747,Director 212,,Japan,"August 23, 2022",1992,G,Horror,This is a movie released in 1992.
s748,TV Show,Netflix Title 748,,,India,,2017,TV-PG,Documentary,This is a tv show released in 2017.
s749,Movie,Netflix Title 749,,"Actor 450, Actor 606",United Kingdom,"April 08, 2018",1998,TV-PG,Horror,This is a movie released in 1998.
s750,Movie,Netflix Title 750,Director 184,,United Kingdom,,2014,TV-PG,Romance,This is a movie released in 2014.
s751,TV Show,Netflix Title 751,Director 276,,United Kingdom,,1983,G,Documentary,This is a tv show released in 1983.
s752,TV Show,Netflix Title 752,Director 251,,South Korea,"June 26, 2019",1997,PG,Comedy,
s753,TV Show,Netflix Title 753,Director 60,,France,,2024,PG,Comedy,This is a tv show released in 2024.
s754,Movie,Netflix Title 754,Director 184,,Japan,"November 18, 2023",2009,R,Action,
s755,Movie,Netflix Title 755,Director 143,"Actor 319, Actor 658",India,,2006,G,Comedy,
